carat,cut,colour,clarity,Length,Width,height,depth ratio,table,Grading,price
1.75,Ideal,G,SI2,7.73,7.78,4.78,61.6,54.8,High  ,11576
0.5,Very Good,D,SI1,5.08,5.11,3.11,61.0,61.0,Mid  ,1436
1.5,Ideal,F,SI1,7.25,7.35,4.58,62.7,56.0,High  ,9347
0.72,Premium,G,SI1,5.81,5.77,3.51,60.6,62.0,Mid  ,2246
1.0,Very Good,G,VVS1,6.29,6.4,3.95,62.3,56.0,High  ,7507
0.31,Ideal,H,VS2,4.38,4.43,2.74,62.2,53.0, Low  ,489
0.32,Ideal,G,VVS2,4.44,4.41,2.73,61.7,57.0, Low  ,936
1.53,Premium,F,VS2,7.62,7.56,4.44,58.5,60.0,High  ,14483
1.11,Very Good,J,VS1,6.8,6.77,4.07,59.9,56.0,Mid  ,5576
0.49,Premium,G,VS2,5.16,5.14,3.08,59.8,59.0,Mid  ,1240
0.3,Ideal,H,VS2,4.28,4.31,2.69,62.6,55.0, Low  ,491
0.57,Ideal,E,SI2,5.34,5.36,3.32,62.1,55.0,Mid  ,1244
0.51,Ideal,H,VS1,5.08,5.13,3.2,62.7,57.0,Mid  ,1438
0.31,Ideal,H,VVS1,4.35,4.39,2.71,62.0,54.2, Low  ,660
1.02,Fair,J,SI1,6.25,6.18,4.15,66.8,55.0,Mid  ,3027
1.02,Ideal,D,SI1,6.48,6.53,3.99,61.3,56.0,Mid  ,6157
0.4,Premium,E,SI1,4.76,4.72,2.88,60.8,62.0, Low  ,882
0.51,Premium,D,VS2,5.09,5.05,3.18,62.7,59.0,Mid  ,1807
2.01,Good,G,SI2,8.0,7.95,5.07,63.6,59.0,High  ,15977
0.3,Ideal,E,VS2,4.28,4.32,2.68,62.3,56.0, Low  ,658
1.0,Very Good,D,SI2,6.37,6.45,3.95,61.6,58.0,Mid  ,4543
0.38,Ideal,G,SI1,4.68,4.71,2.89,61.6,54.0, Low  ,710
0.65,Premium,E,SI2,5.57,5.52,3.41,61.4,59.0,Mid  ,1640
2.0,Fair,H,SI2,7.88,7.79,5.12,65.3,55.0,High  ,10752
0.41,Ideal,H,VS1,4.77,4.81,2.96,61.8,56.0, Low  ,827
0.7,Good,F,VVS1,5.58,5.62,3.54,63.2,58.0,Mid  ,3018
1.01,Very Good,G,SI1,6.34,6.25,3.9,62.0,63.0,Mid  ,3137
0.71,Premium,H,SI2,5.76,5.72,3.54,61.7,59.0,Mid  ,1567
1.04,Very Good,F,SI1,6.67,6.56,3.95,59.7,59.0,Mid  ,5152
0.71,Very Good,D,VS1,5.64,5.66,3.62,64.1,57.0,Mid  ,3332
0.75,Ideal,D,SI1,5.8,5.83,3.62,62.3,57.0,Mid  ,2954
0.33,Very Good,F,SI1,4.4,4.42,2.77,62.8,58.0, Low  ,550
1.0,Premium,F,SI1,6.44,6.37,3.96,61.8,58.0,Mid  ,5151
0.3,Premium,D,VVS2,4.3,4.26,2.67,62.4,58.0, Low  ,965
0.83,Premium,G,SI2,5.99,5.96,3.76,62.9,57.0,Mid  ,2386
0.23,Very Good,F,VS2,3.96,4.0,2.45,61.6,59.0, Low  ,402
1.07,Premium,H,SI1,6.64,6.61,4.02,60.7,60.0,Mid  ,4764
0.33,Ideal,D,VS2,4.45,4.48,2.76,61.8,56.0, Low  ,781
0.7,Good,G,VS2,5.66,5.69,3.58,63.1,58.0,Mid  ,2282
0.73,Premium,G,VS2,5.88,5.82,3.53,60.3,57.0,Mid  ,2581
0.41,Ideal,E,VS2,4.8,4.75,2.97,62.2,56.0,Mid  ,1087
0.31,Premium,E,VS2,4.37,4.42,2.65,60.3,58.0, Low  ,680
1.31,Very Good,I,SI2,7.06,7.12,4.31,60.8,57.0,Mid  ,5582
0.33,Premium,G,VS1,4.44,4.52,2.7,60.3,59.0, Low  ,666
1.71,Premium,G,SI2,7.66,7.6,4.78,62.6,57.0,High  ,11227
1.52,Premium,I,SI1,7.37,7.42,4.58,61.9,58.0,High  ,8477
0.31,Ideal,D,VS1,4.4,4.43,2.67,60.5,57.0, Low  ,766
1.0,Premium,E,VVS2,6.42,6.46,3.97,61.6,59.0,High  ,8888
1.21,Good,G,I1,6.78,6.73,4.32,64.0,59.0,Mid  ,3415
0.28,Ideal,F,VVS2,4.18,4.21,2.62,62.5,57.0, Low  ,642
1.23,Ideal,H,SI1,6.92,6.89,4.25,61.5,57.0,High  ,6681
1.07,Ideal,G,VS2,6.62,6.57,4.03,61.1,59.0,Mid  ,6324
0.3,Good,G,SI2,4.23,4.25,2.7,63.7,54.0, Low  ,394
0.41,Ideal,G,VVS1,4.79,4.82,2.95,61.5,57.0,Mid  ,1123
0.31,Premium,G,VS2,4.32,4.3,2.7,62.6,57.0, Low  ,698
1.0,Good,H,SI1,6.51,6.47,3.73,57.5,62.0,Mid  ,4788
0.91,Very Good,E,VS2,6.31,6.32,3.69,58.4,63.0,Mid  ,4823
0.53,Ideal,G,SI1,5.24,5.26,3.21,61.1,55.0,Mid  ,1549
0.9,Good,F,SI2,6.12,6.15,3.76,61.3,59.0,Mid  ,3621
0.56,Premium,G,VS1,5.3,5.26,3.23,61.2,60.0,Mid  ,1915
1.07,Very Good,F,SI1,6.54,6.6,4.05,61.6,58.0,Mid  ,6061
1.39,Premium,I,SI2,7.15,7.11,4.41,61.9,59.0,Mid  ,4826
1.57,Premium,G,SI1,7.68,7.6,4.52,59.2,59.0,High  ,11113
0.7,Premium,F,SI1,5.69,5.65,3.51,61.9,58.0,Mid  ,2319
0.41,Premium,J,VVS1,4.83,4.79,2.89,60.1,58.0, Low  ,994
1.5,Good,H,SI2,7.2,7.26,4.64,64.2,56.0,High  ,7161
1.5,Very Good,F,VS2,7.42,7.46,4.44,59.7,56.0,High  ,13537
0.28,Premium,E,VVS1,4.21,4.18,2.64,62.9,52.0, Low  ,828
1.02,Ideal,H,SI1,6.41,6.46,4.02,62.5,57.0,Mid  ,4746
0.72,Ideal,G,SI1,5.78,5.81,3.59,61.9,54.0,Mid  ,2548
0.92,Premium,H,SI1,6.36,6.31,3.74,59.0,59.0,Mid  ,3709
0.35,Good,E,SI2,4.48,4.5,2.87,63.9,55.0, Low  ,491
0.33,Premium,F,SI2,4.43,4.4,2.75,62.3,58.0, Low  ,557
0.57,Premium,J,VS1,5.37,5.36,3.25,60.6,59.0,Mid  ,1606
2.6,Ideal,J,SI2,8.81,8.76,5.49,62.5,56.0,High  ,18369
1.05,Premium,E,SI2,6.54,6.47,4.05,62.3,56.0,Mid  ,4939
0.71,Premium,F,SI2,5.66,5.6,3.5,62.2,57.0,Mid  ,2040
0.9,Premium,E,SI1,6.17,6.1,3.8,61.9,58.0,Mid  ,4209
0.38,Ideal,F,VVS1,4.68,4.71,2.88,61.5,56.0,Mid  ,1120
0.34,Ideal,G,VVS2,4.46,4.48,2.77,62.0,56.0, Low  ,735
1.01,Premium,D,SI1,6.51,6.45,3.89,60.0,60.0,Mid  ,5543
0.7,Ideal,F,VVS2,5.68,5.72,3.53,61.9,54.8,Mid  ,3741
1.08,Premium,I,SI2,6.75,6.69,4.04,60.1,59.0,Mid  ,3750
0.26,Very Good,F,VS1,4.18,4.23,2.5,59.5,58.0, Low  ,453
1.09,Ideal,E,SI2,6.6,6.64,4.1,61.9,55.0,Mid  ,5035
0.7,Very Good,D,VS2,5.61,5.56,3.53,63.2,60.0,Mid  ,3033
0.8,Very Good,E,VS1,5.98,5.94,3.72,62.4,54.0,Mid  ,4495
0.51,Ideal,G,VS1,5.2,5.24,3.14,60.2,56.0,Mid  ,1852
0.4,Very Good,E,VS1,4.63,4.67,2.92,62.8,59.0,Mid  ,1053
1.11,Ideal,J,SI1,6.57,6.6,4.11,62.4,57.0,Mid  ,4497
1.54,Premium,F,SI2,7.47,7.36,4.53,61.1,58.0,High  ,9055
1.03,Good,D,SI2,6.57,6.61,3.91,59.3,58.0,Mid  ,4671
0.27,Ideal,D,VVS2,4.15,4.13,2.59,62.6,56.0, Low  ,799
0.31,Ideal,F,VVS2,4.4,4.43,2.7,61.2,56.0, Low  ,716
0.72,Ideal,E,SI1,5.84,5.79,3.55,61.0,56.0,Mid  ,2951
1.0,Premium,E,SI1,6.38,6.41,3.88,60.7,59.0,Mid  ,5445
1.14,Premium,F,VVS1,6.87,6.8,4.06,59.4,59.0,High  ,11549
1.14,Premium,F,VVS1,6.87,6.8,4.06,59.4,59.0,High  ,11654
0.71,Ideal,D,VS2,5.74,5.79,3.54,61.4,56.0,Mid  ,3234
0.33,Very Good,F,VS1,4.48,4.52,2.66,59.1,60.0, Low  ,772
0.7,Ideal,F,SI2,5.72,5.69,3.57,62.6,53.0,Mid  ,2011
0.35,Premium,D,SI1,4.52,4.55,2.76,60.9,58.0, Low  ,644
0.54,Premium,I,SI2,5.22,5.2,3.19,61.2,60.0,Mid  ,1013
0.74,Very Good,G,VS1,5.9,5.86,3.58,60.9,59.0,Mid  ,3389
1.07,Ideal,I,VS2,6.64,6.62,4.02,60.6,59.0,Mid  ,5167
0.4,Good,I,SI1,4.7,4.66,2.99,63.9,57.0, Low  ,765
1.45,Very Good,I,IF,7.32,7.41,4.46,60.6,61.0,High  ,9683
0.45,Very Good,D,VS2,4.83,4.86,3.04,62.9,58.4,Mid  ,1311
0.28,Ideal,G,VVS2,4.22,4.24,2.6,61.5,56.0, Low  ,586
0.9,Ideal,E,SI1,6.18,6.2,3.84,62.0,56.0,Mid  ,5450
0.72,Very Good,H,SI1,5.84,5.85,3.52,60.3,55.0,Mid  ,2505
0.7,Very Good,G,I1,5.6,5.51,3.51,63.1,56.0,Mid  ,1115
0.96,Good,G,SI1,6.52,6.39,3.67,56.6,63.0,Mid  ,3522
1.55,Premium,G,SI1,7.49,7.44,4.52,60.1,58.0,High  ,10980
1.06,Premium,G,VS2,6.65,6.61,4.04,60.9,57.0,Mid  ,6582
0.51,Good,D,VS2,5.14,5.17,3.1,60.1,65.0,Mid  ,1430
1.52,Fair,D,SI1,7.18,7.16,4.63,64.6,64.0,High  ,9704
0.9,Fair,G,I1,6.05,5.99,3.92,65.1,58.0,Mid  ,1939
0.3,Ideal,E,VS1,4.29,4.32,2.64,61.3,58.0, Low  ,694
1.01,Premium,G,SI2,6.45,6.39,3.86,60.1,59.0,Mid  ,4154
1.01,Premium,G,SI2,6.45,6.39,3.86,60.1,59.0,Mid  ,4269
0.31,Ideal,F,VS2,4.29,4.33,2.7,62.6,57.0, Low  ,625
0.51,Very Good,D,VVS2,5.1,5.07,3.21,63.1,58.0,Mid  ,2289
0.41,Ideal,E,VS2,4.74,4.77,2.96,62.3,56.0, Low  ,935
0.55,Ideal,I,SI1,5.3,5.35,3.27,61.4,54.0,Mid  ,1076
0.31,Ideal,G,IF,4.34,4.38,2.69,61.7,56.0, Low  ,891
0.31,Ideal,G,IF,4.34,4.38,2.69,61.7,56.0, Low  ,924
0.7,Very Good,E,VS1,5.59,5.64,3.52,62.7,60.0,Mid  ,2671
2.42,Ideal,H,SI2,8.62,8.55,5.35,62.3,57.0,High  ,16826
0.32,Premium,E,SI1,4.43,4.38,2.73,62.0,60.0, Low  ,624
1.06,Very Good,G,VS2,6.48,6.45,4.08,63.1,59.0,Mid  ,6325
1.02,Premium,H,VS2,6.52,6.55,3.95,60.4,59.0,Mid  ,5008
2.02,Premium,I,VS1,8.18,8.15,4.94,60.5,62.0,High  ,14238
0.36,Very Good,G,SI2,4.55,4.59,2.83,61.9,56.0, Low  ,473
0.7,Premium,F,SI1,5.71,5.74,3.51,61.3,59.0,Mid  ,2161
1.0,Fair,H,SI1,6.69,6.64,3.68,55.2,64.0,Mid  ,3830
1.0,Ideal,I,SI1,6.33,6.38,3.99,62.8,56.0,Mid  ,4237
0.34,Very Good,G,SI1,4.4,4.45,2.81,63.4,57.0, Low  ,521
0.53,Ideal,J,VS1,5.2,5.22,3.2,61.4,55.2,Mid  ,1218
1.18,Ideal,H,SI2,6.74,6.76,4.2,62.2,56.0,Mid  ,5657
1.51,Very Good,D,SI2,7.25,7.18,4.56,63.2,59.0,High  ,7915
1.61,Ideal,H,VS2,7.52,7.57,4.63,61.4,57.0,High  ,11045
2.0,Ideal,F,SI2,8.08,8.01,5.04,62.6,57.0,High  ,18172
1.67,Ideal,H,SI1,7.68,7.62,4.71,61.6,55.0,High  ,11678
0.54,Premium,F,VS1,5.16,5.23,3.21,61.8,59.0,Mid  ,1649
1.54,Ideal,G,VS2,7.35,7.44,4.59,62.0,55.6,High  ,13110
0.3,Premium,H,VS2,4.27,4.22,2.66,62.7,59.0, Low  ,608
1.34,Ideal,H,VS2,7.09,7.05,4.33,61.2,56.0,Mid  ,6078
0.31,Good,F,SI1,4.27,4.31,2.71,63.2,56.0, Low  ,512
0.93,Good,F,SI2,6.17,6.26,3.81,61.3,62.0,Mid  ,3376
2.12,Premium,H,SI2,8.47,8.43,4.99,59.1,59.0,High  ,16992
0.79,Good,I,SI1,5.85,5.8,3.72,63.9,55.0,Mid  ,2095
0.53,Very Good,F,SI2,5.19,5.23,3.15,60.5,60.0,Mid  ,1132
1.24,Ideal,G,SI1,6.93,6.99,4.25,61.0,56.4,High  ,6895
0.3,Very Good,H,SI1,4.25,4.23,2.69,63.4,60.0, Low  ,554
0.96,Premium,E,SI1,6.41,6.39,3.76,58.7,62.0,Mid  ,4365
0.31,Ideal,E,VS1,4.39,4.41,2.68,60.9,57.0, Low  ,734
0.42,Ideal,G,IF,4.83,4.87,3.0,61.9,53.0,Mid  ,1289
0.7,Premium,F,SI2,5.75,5.72,3.51,61.2,59.0,Mid  ,1792
0.98,Fair,F,SI2,6.46,6.24,3.92,61.6,66.0,Mid  ,2958
0.58,Ideal,F,VVS1,5.33,5.37,3.3,61.7,56.0,Mid  ,2772
0.4,Ideal,G,SI1,4.8,4.78,2.92,60.9,55.0, Low  ,873
0.41,Ideal,F,VS2,4.76,4.79,2.95,61.8,56.0, Low  ,863
0.34,Ideal,D,VS2,4.49,4.46,2.78,62.1,55.0, Low  ,923
0.34,Ideal,D,VS2,4.49,4.46,2.78,62.1,55.0, Low  ,1033
0.33,Ideal,D,VVS1,4.5,4.53,2.73,60.5,56.0,Mid  ,1257
1.13,Ideal,D,SI1,6.69,6.74,4.12,61.4,56.0,High  ,7066
0.91,Ideal,I,SI2,6.23,6.24,3.84,61.6,57.0,Mid  ,3034
0.34,Ideal,E,VVS1,4.49,4.45,2.78,62.2,56.0,Mid  ,1084
0.24,Very Good,E,VVS1,3.96,4.01,2.47,62.0,60.0, Low  ,485
0.64,Very Good,E,VS2,5.52,5.49,3.49,63.4,54.0,Mid  ,2114
0.71,Good,G,VS2,5.63,5.67,3.59,63.5,59.0,Mid  ,2029
1.07,Premium,F,VS1,6.62,6.56,3.99,60.6,61.0,High  ,6885
1.04,Ideal,F,SI1,6.64,6.58,3.96,59.9,56.0,Mid  ,4403
0.42,Ideal,E,SI1,4.79,4.81,2.94,61.3,57.0, Low  ,773
1.25,Premium,I,SI2,7.0,6.96,4.22,60.5,58.0,Mid  ,5166
2.01,Very Good,I,VS2,7.96,8.01,4.96,62.1,60.0,High  ,15919
0.56,Very Good,D,SI1,5.22,5.19,3.29,63.1,57.0,Mid  ,1777
0.72,Premium,F,SI2,5.83,5.79,3.55,61.1,59.0,Mid  ,1806
1.51,Ideal,G,VS1,7.38,7.33,4.57,62.1,55.0,High  ,13995
0.52,Ideal,G,SI1,5.17,5.22,3.18,61.2,55.0,Mid  ,1413
0.25,Very Good,E,VVS2,3.97,4.01,2.53,63.4,58.0, Low  ,575
1.0,Ideal,E,SI1,6.34,6.42,3.98,62.4,55.0,Mid  ,6324
0.71,Very Good,G,VS1,5.67,5.63,3.59,63.5,56.0,Mid  ,2368
0.5,Premium,G,VVS2,5.09,5.07,3.16,62.2,61.0,Mid  ,1806
1.03,Good,F,SI2,6.55,6.6,3.88,59.0,59.0,Mid  ,4414
2.51,Premium,J,SI2,8.83,8.87,5.25,59.3,58.0,High  ,16278
0.7,Premium,G,VVS2,5.68,5.61,3.55,62.9,59.0,Mid  ,2874
0.3,Very Good,I,VVS2,4.31,4.28,2.58,60.1,63.0, Low  ,675
0.32,Ideal,I,IF,4.47,4.44,2.71,60.8,54.0, Low  ,864
0.41,Very Good,E,SI2,4.72,4.68,2.97,63.2,58.0, Low  ,818
1.11,Ideal,I,VS1,6.68,6.72,4.09,61.0,57.0,Mid  ,6077
0.3,Premium,E,SI1,4.27,4.31,2.63,61.3,60.0, Low  ,526
0.91,Very Good,D,SI1,6.16,6.19,3.88,62.8,58.0,Mid  ,5033
1.0,Premium,F,VS2,6.33,6.3,3.95,62.5,54.0,Mid  ,6154
0.53,Ideal,E,VS2,5.18,5.16,3.23,62.5,57.0,Mid  ,1727
0.43,Ideal,F,SI1,4.8,4.85,2.97,61.6,57.0, Low  ,792
0.71,Very Good,E,VS1,5.68,5.76,3.58,62.6,59.0,Mid  ,3464
1.45,Premium,H,VS1,7.27,7.16,4.37,60.6,60.0,High  ,8550
2.07,Very Good,H,SI1,8.15,8.2,5.08,62.1,59.0,High  ,17893
0.42,Premium,F,SI1,4.88,4.85,2.92,60.0,59.0, Low  ,992
1.46,Premium,G,SI2,7.31,7.27,4.58,62.8,52.0,Mid  ,5421
2.35,Very Good,I,SI2,8.72,8.77,5.12,58.5,57.0,High  ,15122
1.55,Very Good,G,SI1,7.45,7.47,4.46,59.8,59.0,High  ,9428
1.01,Ideal,H,SI1,6.43,6.39,4.01,62.6,55.0,Mid  ,4836
0.31,Premium,J,VS1,4.39,4.34,2.65,60.7,60.0, Low  ,523
0.76,Good,J,VS1,5.7,5.75,3.58,62.6,61.9,Mid  ,2015
0.41,Premium,F,VS1,4.74,4.75,2.97,62.6,58.0,Mid  ,1007
1.32,Ideal,G,VS1,7.03,7.08,4.4,62.4,53.0,High  ,10631
0.32,Ideal,H,VVS2,4.4,4.43,2.7,61.2,56.0, Low  ,645
0.7,Fair,H,VS1,5.48,5.54,3.7,67.2,55.0,Mid  ,1811
0.53,Ideal,I,VS2,5.25,5.22,3.16,60.3,60.0,Mid  ,1279
0.38,Premium,F,SI1,4.6,4.63,2.86,62.0,58.0, Low  ,653
0.72,Ideal,E,SI2,5.78,5.8,3.56,61.4,55.0,Mid  ,2526
1.07,Ideal,F,VS2,6.5,6.47,4.08,62.0,57.0,Mid  ,6459
1.06,Ideal,H,SI2,6.53,6.51,4.02,61.7,60.0,Mid  ,4547
0.35,Ideal,G,IF,4.59,4.56,2.81,61.4,55.0,Mid  ,1116
0.72,Ideal,I,VS2,5.76,5.78,3.55,61.6,55.0,Mid  ,2312
1.09,Ideal,E,SI1,6.7,6.66,4.08,61.1,55.0,Mid  ,6043
0.35,Ideal,E,VS2,4.48,4.43,2.83,63.5,54.0, Low  ,722
0.41,Premium,E,SI2,4.73,4.69,2.96,62.8,58.0, Low  ,818
1.71,Ideal,F,VS2,7.73,7.62,4.75,61.9,57.0,High  ,16384
0.33,Ideal,E,VS2,4.47,4.5,2.76,61.5,55.0, Low  ,738
0.28,Premium,E,VVS2,4.26,4.22,2.55,60.1,59.0, Low  ,828
0.7,Very Good,D,VS1,5.73,5.76,3.45,60.1,60.0,Mid  ,3208
0.38,Premium,D,SI1,4.69,4.63,2.83,60.7,60.0, Low  ,941
1.2,Very Good,I,IF,6.91,6.99,4.11,59.1,61.0,High  ,7141
0.3,Premium,I,SI1,4.37,4.33,2.63,60.5,62.0, Low  ,506
0.74,Ideal,E,VS1,5.79,5.82,3.61,62.2,55.0,Mid  ,3888
0.86,Ideal,D,SI2,6.16,6.19,3.72,60.2,56.0,Mid  ,3284
0.26,Very Good,F,VVS2,4.19,4.22,2.49,59.2,60.0, Low  ,554
0.32,Ideal,F,VVS1,4.46,4.48,2.71,60.6,56.0, Low  ,867
1.2,Premium,F,VS2,6.91,6.89,4.17,60.4,59.0,High  ,8796
0.52,Very Good,G,VVS1,5.11,5.13,3.17,61.9,61.0,Mid  ,2045
0.9,Very Good,H,VVS2,6.14,6.08,3.88,63.5,55.0,Mid  ,4963
1.01,Fair,F,VS2,6.1,6.04,4.01,66.1,61.0,Mid  ,4791
0.3,Good,D,SI2,4.26,4.29,2.71,63.4,56.0, Low  ,447
0.4,Premium,E,VS2,4.73,4.65,2.93,62.5,58.0, Low  ,975
0.9,Premium,F,SI1,6.19,6.14,3.8,61.6,60.0,Mid  ,3992
0.3,Ideal,F,IF,4.35,4.38,2.65,60.7,56.0,Mid  ,1131
0.3,Very Good,E,VVS1,4.37,4.39,2.65,60.5,57.0, Low  ,862
0.35,Ideal,D,VVS2,4.54,4.58,2.78,61.0,57.0, Low  ,910
1.06,Premium,E,VS1,6.49,6.46,4.08,63.0,58.0,High  ,8044
0.83,Premium,E,VS2,6.08,6.02,3.71,61.3,59.0,Mid  ,3625
0.38,Very Good,H,SI1,4.62,4.58,2.91,63.3,57.0, Low  ,812
0.43,Very Good,D,SI2,4.86,4.9,2.98,61.1,58.0, Low  ,716
1.02,Very Good,H,VS2,6.42,6.45,4.02,62.5,56.0,Mid  ,5217
0.36,Ideal,F,VVS2,4.58,4.61,2.83,61.7,57.0, Low  ,896
0.32,Ideal,F,VVS1,4.4,4.43,2.76,62.5,53.0, Low  ,854
1.5,Good,J,VS1,7.23,7.13,4.6,64.1,55.0,High  ,8467
0.32,Ideal,E,VS1,4.43,4.4,2.73,61.8,55.0, Low  ,972
0.71,Ideal,E,VS1,5.71,5.74,3.57,62.4,54.0,Mid  ,2923
1.22,Premium,G,SI1,6.92,6.96,4.21,60.7,59.0,Mid  ,6492
0.33,Ideal,I,VVS2,4.45,4.42,2.78,62.7,54.0, Low  ,743
1.02,Ideal,I,SI2,6.44,6.46,3.99,61.8,57.0,Mid  ,4118
2.13,Very Good,G,SI2,8.27,8.34,5.11,61.5,57.0,High  ,15454
0.3,Premium,D,SI1,4.28,4.26,2.67,62.5,59.0, Low  ,709
0.7,Premium,D,SI2,5.61,5.57,3.51,62.8,61.0,Mid  ,2348
0.4,Very Good,G,VS2,4.69,4.72,2.96,62.9,56.0, Low  ,807
0.38,Ideal,F,IF,4.66,4.64,2.89,62.2,55.0,Mid  ,1397
0.3,Premium,H,VVS1,4.32,4.29,2.68,62.3,58.0, Low  ,878
0.24,Very Good,F,VS1,4.07,4.12,2.43,59.3,57.0, Low  ,393
0.23,Very Good,F,VVS2,3.9,3.94,2.41,61.5,58.0, Low  ,530
0.71,Premium,F,SI1,5.8,5.83,3.51,60.4,58.0,Mid  ,2297
0.79,Ideal,E,VS2,5.91,5.94,3.66,61.8,56.0,Mid  ,3605
2.01,Premium,J,SI1,8.12,8.09,5.0,61.7,60.0,High  ,9793
0.42,Very Good,E,SI2,4.86,4.9,2.87,58.8,60.0, Low  ,653
0.7,Very Good,I,SI1,5.58,5.62,3.57,63.8,56.0,Mid  ,1973
0.57,Ideal,F,VVS2,5.38,5.41,3.25,60.2,57.0,Mid  ,2321
1.7,Premium,G,VS1,7.73,7.64,4.7,61.2,57.0,High  ,17492
0.33,Very Good,G,VVS2,4.45,4.49,2.72,60.9,59.0, Low  ,752
0.79,Very Good,G,SI1,5.98,6.06,3.65,60.6,57.0,Mid  ,2793
1.02,Premium,G,I1,6.55,6.5,3.94,60.3,58.0,Mid  ,2815
0.41,Very Good,E,SI2,4.74,4.77,2.99,62.9,58.0, Low  ,683
0.34,Ideal,H,VVS1,4.5,4.52,2.78,61.6,53.0, Low  ,751
0.33,Premium,E,VS1,4.42,4.46,2.73,61.5,59.0, Low  ,781
1.2,Very Good,G,SI2,6.76,6.79,4.26,62.9,54.0,Mid  ,5321
0.3,Ideal,H,SI1,4.27,4.31,2.67,62.2,57.0, Low  ,450
1.23,Very Good,E,VVS1,6.9,6.98,4.25,61.2,59.0,High  ,15878
1.24,Premium,G,SI1,7.08,6.98,4.14,58.9,58.0,Mid  ,6145
1.2,Premium,H,SI1,7.0,6.92,4.13,59.3,60.0,Mid  ,5822
2.1,Ideal,I,SI2,8.22,8.2,5.08,61.9,56.0,High  ,15653
0.55,Ideal,H,VVS1,5.21,5.24,3.26,62.4,56.0,Mid  ,1845
0.82,Premium,H,SI1,6.11,6.07,3.65,59.9,57.0,Mid  ,2721
0.51,Premium,D,SI1,5.18,5.14,3.09,59.9,61.0,Mid  ,1574
1.5,Premium,F,VS2,7.37,7.35,4.5,61.1,59.0,High  ,11255
0.71,Ideal,E,VVS1,5.69,5.73,3.54,62.0,56.0,Mid  ,4802
0.43,Good,D,SI2,4.79,4.82,3.04,63.3,57.0, Low  ,669
0.3,Ideal,H,VS2,4.27,4.31,2.66,62.0,57.0, Low  ,457
1.08,Premium,E,SI1,6.73,6.66,3.99,59.6,60.0,Mid  ,5908
0.59,Ideal,E,VVS2,5.39,5.43,3.3,61.0,58.0,Mid  ,2515
0.36,Premium,J,SI1,4.58,4.54,2.81,61.6,60.0, Low  ,527
